A0	A1	B0	B1	C.in	|Out0	Out1	C.out
0	0	0	0	0	|1	1	0
1	0	0	0	0	|0	1	0
0	1	0	0	0	|1	0	0
1	1	0	0	0	|0	0	0
0	0	1	0	0	|0	1	0
1	0	1	0	0	|0	1	0
0	1	1	0	0	|0	0	0
1	1	1	0	0	|0	0	1
0	0	0	1	0	|1	0	0
1	0	0	1	0	|0	0	0
0	1	0	1	0	|1	0	1
1	1	0	1	0	|0	0	1
0	0	1	1	0	|0	0	0
1	0	1	1	0	|0	0	1
0	1	1	1	0	|0	0	1
1	1	1	1	0	|0	0	1
0	0	0	0	1	|1	1	0
1	0	0	0	1	|0	1	0
0	1	0	0	1	|1	0	0
1	1	0	0	1	|0	0	1
0	0	1	0	1	|0	1	0
1	0	1	0	1	|0	1	0
0	1	1	0	1	|0	0	1
1	1	1	0	1	|0	0	1
0	0	0	1	1	|1	0	0
1	0	0	1	1	|0	0	1
0	1	0	1	1	|1	0	1
1	1	0	1	1	|0	0	1
0	0	1	1	1	|0	0	1
1	0	1	1	1	|0	0	1
0	1	1	1	1	|0	0	1
1	1	1	1	1	|0	0	1
